Вопрос,Ответ
"Что делать, если я обнаружил, что мой партнер по бизнесу скрывает доходы?","Вы можете обратиться в суд с требованием о возмещении убытков и пересмотре распределения прибыли (статья 53.1 ГК РФ).
    
56."
Могу ли я продать долю в квартире без согласия других собственников?,"Да, но другие собственники имеют преимущественное право покупки доли (статья 250 ГК РФ).
    
57."
"Что делать, если я потерял доверенность?","Вам нужно отозвать доверенность и выдать новую, чтобы избежать злоупотреблений (статья 189 ГК РФ).
    
58."
"Могу ли я взыскать убытки, если мой подрядчик не выполнил работу в срок?","Да, вы можете потребовать возмещения убытков и уплаты неустойки за просрочку (статья 708 ГК РФ).
    
59."
"Что делать, если мой работодатель не выплачивает зарплату?","Вы можете обратиться в суд с требованием взыскать задолженность по зарплате и компенсацию за задержку (статья 395 ГК РФ).
    
60."
"Могу ли я отказаться от договора, если условия оказались невыгодными?","Если договор был заключен добровольно, отказаться от него без последствий нельзя. Однако если есть основания для признания договора недействительным, можно обратиться в суд (статья 450 ГК РФ).
    
61."
"Что делать, если я не могу найти человека, который должен мне деньги?","Вы можете обратиться в суд с иском о взыскании долга, даже если местонахождение должника неизвестно (статья 203 ГК РФ).
    
62."
"Могу ли я потребовать компенсацию, если мой автомобиль повредили на парковке?","Да, вы можете взыскать убытки с лица, ответственного за повреждение автомобиля (статья 1064 ГК РФ).
    
63."
"Что делать, если я купил квартиру, а потом выяснилось, что она была продана дважды?","Вы можете обратиться в суд с требованием признать сделку недействительной и вернуть деньги (статья 167 ГК РФ).
    
64."
"Могу ли я взыскать моральный вред, если мне нанесли оскорбление?","Да, если оскорбление причинило вам нравственные страдания, вы можете взыскать компенсацию морального вреда (статья 151 ГК РФ).
    
65."
"Что делать, если я обнаружил, что мой земельный участок захватил сосед?","Вы можете обратиться в суд с требованием вернуть участок и взыскать убытки (статья 301 ГК РФ).
    
66."
"Могу ли я отказаться от договора аренды, если арендодатель не выполняет свои обязательства?","Да, вы можете расторгнуть договор аренды в одностороннем порядке, если арендодатель существенно нарушил условия договора (статья 619 ГК РФ).
    
67."
"Что делать, если мой должник не возвращает деньги?","Вы можете обратиться в суд с иском о взыскании долга и потребовать уплаты процентов за просрочку (статья 395 ГК РФ).
    
68."
Могу ли я передать свою долю в бизнесе другому лицу без согласия партнеров?,"Это зависит от устава организации. Обычно требуется согласие других участников (статья 93 ГК РФ).
    
69."
"Что делать, если я потерял документы на квартиру?","Вам нужно обратиться в Росреестр для восстановления документов и подтверждения права собственности (статья 8.1 ГК РФ).
    
70."
"Могу ли я оспорить сделку, если меня заставили ее подписать под давлением?","Да, сделка, совершенная под принуждением, может быть признана недействительной через суд (статья 179 ГК РФ).
    
71."
"Что делать, если мой партнер по бизнесу не выполняет свои обязательства?","Вы можете потребовать исполнения обязательств в судебном порядке или расторгнуть договор и взыскать убытки (статья 309 ГК РФ).
    
72."
"Могу ли я взыскать убытки, если меня обманули при продаже автомобиля?","Да, если продавец скрыл существенные недостатки автомобиля, вы можете взыскать убытки через суд (статья 15 ГК РФ).
    
73."
"Что делать, если я купил товар, а он оказался бракованным?","Вы можете потребовать замены товара, уменьшения цены, устранения недостатков или возврата денег (статья 475 ГК РФ).
    
74."
"Могу ли я продать квартиру, если она находится в ипотеке?","Да, но для этого нужно получить согласие банка, так как квартира является залоговым имуществом (статья 346 ГК РФ).
    
75."
"Что делать, если мой сосед постоянно шумит и мешает мне жить?","Вы можете обратиться в суд с требованием прекратить действия, нарушающие ваши права, и взыскать компенсацию за причиненный вред (статья 12 ГК РФ).
    
76."
"Могу ли я отказаться от наследства, если у умершего были долги?","Да, вы можете отказаться от наследства, и тогда не будете нести ответственность по долгам наследодателя (статья 1157 ГК РФ).
    
77."
"Что будет, если я не зарегистрирую право собственности на квартиру?","Без государственной регистрации право собственности на недвижимость не возникает. Вы не сможете продать, подарить или заложить квартиру (статья 8.1 ГК РФ).
    
78."
Могу ли я использовать чужое имя в своем бизнесе?,"Использование чужого имени без согласия запрещено. Это может ввести в заблуждение третьих лиц и нарушить права гражданина (статья 19 ГК РФ).
    
79."
"Что делать, если я заключил договор, а потом понял, что он мне невыгоден?","Если договор был заключен добровольно и без нарушений, вы обязаны его исполнять. Однако если есть основания для признания договора недействительным (например, обман или давление), можно обратиться в суд (статья 166 ГК РФ).
    
80."
"Могу ли я ограничить чьи-то гражданские права, если они мне мешают?","Нет, гражданские права могут быть ограничены только на основании федерального закона и только в целях защиты основ конституционного строя, нравственности, здоровья, прав других лиц, обороны страны и безопасности государства (статья 1 ГК РФ).
    
81."
"Что делать, если я обнаружил, что мой партнер по бизнесу ведет двойную бухгалтерию?","Вы можете обратиться в суд с требованием о возмещении убытков и привлечении партнера к ответственности (статья 53.1 ГК РФ).
    
82."
"Могу ли я взыскать убытки, если мой поставщик не доставил товар в срок?","Да, вы можете взыскать убытки и неустойку за просрочку (статья 523 ГК РФ).
    
83."
"Что делать, если я обнаружил, что мой автомобиль был угнан?","Вам нужно обратиться в полицию и страховую компанию, если автомобиль застрахован (статья 1064 ГК РФ).
    
84."
"Могу ли я взыскать убытки, если мой арендатор повредил имущество?","Да, вы можете взыскать убытки и потребовать возмещения стоимости ремонта (статья 622 ГК РФ).
    
85."
"Что делать, если я обнаружил, что мой партнер по бизнесу продал свою долю без моего согласия?","Вы можете оспорить сделку, если она нарушает ваши права (статья 250 ГК РФ).
    
86."
"Могу ли я взыскать убытки, если мой заказчик не оплатил работу?","Да, вы можете взыскать сумму долга и проценты за просрочку (статья 395 ГК РФ).
    
87."
"Что делать, если я обнаружил, что мой земельный участок заливает водой из-за действий соседа?","Вы можете потребовать прекращения действий, нарушающих ваши права, и взыскать убытки (статья 304 ГК РФ).
    
88."
"Могу ли я взыскать убытки, если мой арендатор не платит за аренду?","Да, вы можете взыскать задолженность и проценты за просрочку (статья 622 ГК РФ).
    
89."
"Что делать, если мой партнер по бизнесу хочет выйти из дела?","Вы можете выкупить его долю или распределить ее между оставшимися участниками (статья 93 ГК РФ).
    
90."
"Могу ли я взыскать убытки, если мой подрядчик использовал некачественные материалы?","Да, вы можете потребовать возмещения убытков и устранения недостатков (статья 723 ГК РФ).
    
91."
"Что делать, если я обнаружил, что мой автомобиль был в аварии до покупки?","Вы можете потребовать расторжения договора купли-продажи и возврата денег, если продавец скрыл информацию об аварии (статья 475 ГК РФ).
    
92."
"Могу ли я отказаться от договора, если услуги оказаны некачественно?","Да, вы можете потребовать расторжения договора и возмещения убытков (статья 723 ГК РФ).
    
93."
"Что делать, если мой арендодатель повышает арендную плату без предупреждения?","Если это не предусмотрено договором, вы можете оспорить повышение арендной платы в суде (статья 614 ГК РФ).
    
94."
"Могу ли я взыскать убытки, если мой заемщик не возвращает деньги?","Да, вы можете взыскать сумму долга, проценты и убытки, если они возникли из-за просрочки (статья 811 ГК РФ).
    
95."
"Что делать, если я обнаружил, что мой партнер по бизнесу скрывает доходы?","Вы можете обратиться в суд с требованием о возмещении убытков и пересмотре распределения прибыли (статья 53.1 ГК РФ).
    
96."
Могу ли я продать долю в квартире без согласия других собственников?,"Да, но другие собственники имеют преимущественное право покупки доли (статья 250 ГК РФ).
    
97."
"Что делать, если я потерял доверенность?","Вам нужно отозвать доверенность и выдать новую, чтобы избежать злоупотреблений (статья 189 ГК РФ).
    
98."
"Могу ли я взыскать убытки, если мой подрядчик не выполнил работу в срок?","Да, вы можете потребовать возмещения убытков и уплаты неустойки за просрочку (статья 708 ГК РФ).
    
99."
"Что делать, если мой работодатель не выплачивает зарплату?","Вы можете обратиться в суд с требованием взыскать задолженность по зарплате и компенсацию за задержку (статья 395 ГК РФ).
    
100."
"Могу ли я отказаться от договора, если условия оказались невыгодными?","Если договор был заключен добровольно, отказаться от него без последствий нельзя. Однако если есть основания для признания договора недействительным, можно обратиться в суд (статья 450 ГК РФ)."
